"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_µg","Vit_D_IU","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct"
"14206","BEVERAGES,TEA,GRN,RTD,SWTND","93.54","27","0","0.22","0.03","6.2","0","5.32","1","0","0","31","12","21","0.01","0.005","0.073","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270","1 cup","","","0"
"14207","BEVERAGES,TEA,RTD,LEMON,DIET","99.55","2","0","0","0.04","0.41","0","0","0","0","0","0","37","1","0.01","0.005","0.085","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266","1 cup","473","16 fl oz","0"
"14224","BEVERAGES,COFFEE,INST,MOCHA,SWTND","1.7","460","5.29","15.87","3.1","74.04","1.9","58.2","271","0","68","251","1033","317","0.96","0.435","0.445","6.2","0.6","0.031","0.028","2.263","0.052","0.055","9","0","9","9","31.3","0.45","5","1","0","0","2","0","0","4","0","0","0","1.5","4.934","8.934","1.053","0","13","1 serving, 2 tbsp","","","0"
"14279","BEVERAGES,TEA,BLACK,RTD,PEACH,DIET","99.68","1","0","0","0.07","0.25","0","0","1","0","1","1","12","5","0","0.005","0.161","0","5.2","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","268","1 cup","","","0"
"14282","BEVERAGES,GRAPE JUC DRK,CND","85.3","57","0","0","0.12","14.55","0.1","14.11","7","0.13","6","6","33","9","0.03","0.022","0.2","0.1","26.5","0.225","0.354","0.142","0.023","0.035","1","0","1","1","0.3","0","4","0","0","0","3","0","0","19","0","0","0","0.2","0","0","0","0","31.3","1 fl oz","188","6 fl oz","0"
"14284","BEVERAGES,CRANBERRY JUC COCKTAIL","87.39","52","0","0.34","0.03","12.25","","11.41","3","0.04","1","1","19","2","0.02","0.015","0.06","","33.5","0","0","0.025","0.048","0","","","","","","","","","","","","","","","","","","","","","","","271","1 cup","","","0"
"14323","BEVERAGES,ORANGE DRK,CND,W/ ADDED VIT C","87.47","49","0","0.07","0.11","12.34","0","11.03","5","0.04","2","1","18","3","0.02","0","0.011","0","57.3","0","0","0.011","0.018","0","2","0","2","2","0.5","0","8","0","0","0","1","7","0","9","0.02","0","0","0","0.002","0.002","0.003","0","31","1 fl oz","248","1 cup,  (8 fl oz)","0"
"14334","BEVERAGES,PNAPPL & GRAPEFRUIT JUC DRK,CND","87.9","47","0.2","0.1","0.2","11.6","0.1","11.52","7","0.31","6","6","61","14","0.06","0.045","0.413","0.1","46","0.03","0.016","0.267","0.053","0.042","9","0","9","9","0.5","0","2","0","0","0","1","0","0","1","0.01","0","0","0.1","0.006","0.01","0.028","0","31.3","1 fl oz","250","1 cup,  (8 fl oz)","0"
"14347","SHAKE,FAST FOOD,VANILLA","69.65","148","3.37","6.52","0.86","19.59","0.9","13.63","115","0.46","13","98","166","81","0.57","0.103","0.035","3.2","0","0.026","0.66","0.213","0.562","0.06","0","0","0","0","27.3","0.22","304","91","91","0","0","0","0","0","0.25","0","0","0.4","3.962","1.785","0.316","23","20.8","1 fl oz","166","1 cup,  (8 fl oz)","0"
"16006","BEANS,BKD,CND,PLN OR VEGETARIAN","72","94","4.75","0.37","1.75","21.14","4.1","7.96","34","1.19","27","74","224","343","2.28","0.145","0.109","5","0","0.096","0.039","0.428","0.216","0.084","12","0","12","12","31.5","0","108","5","0","0","65","0","511","16","0.15","0","0","0.8","0.071","0.095","0.121","0","254","1 cup","","","0"
"16057","CHICKPEAS ,MATURE SEEDS,CKD,BLD,WO/SALT","60.21","164","8.86","2.59","0.92","27.42","7.6","4.8","49","2.89","48","168","291","7","1.53","0.352","1.03","3.7","1.3","0.116","0.063","0.526","0.286","0.139","172","0","172","172","42.8","0","27","1","0","0","16","0","0","0","0.35","0","0","4","0.269","0.583","1.156","0","164","1 cup","","","0"
"16109","SOYBEANS,MATURE CKD,BLD,WO/SALT","62.55","172","18.21","8.97","1.91","8.36","6","3","102","5.14","86","245","515","1","1.15","0.407","0.824","7.3","1.7","0.155","0.285","0.399","0.179","0.234","54","0","54","54","47.5","0","9","0","0","0","5","0","0","0","0.35","0","0","19.2","1.297","1.981","5.064","0","172","1 cup","10.7","1 tbsp","0"
"16110","SOYBEANS,MATURE SEEDS,RSTD,SALTED","1.95","469","38.55","25.4","3.88","30.22","17.7","4.2","138","3.9","145","363","1470","163","3.14","0.828","2.158","19.1","2.2","0.1","0.145","1.41","0.453","0.208","211","0","211","211","124.3","0","200","10","0","0","120","0","0","0","0.91","0","0","50.4","3.674","5.61","14.339","0","172","1 cup","","","0"
"16253","SILK STRAWBERRY SOY YOGURT","77","94","2.35","1.18","1.24","18.24","0.6","12.94","176","0.64","","","","15","","","","","17.6","","","","","","","","","","","","0","","","","","","","","","","","","0","","","0","170","1 container","","","0"
"16254","SILK RASPBERRY SOY YOGURT","77.59","88","2.35","1.18","1.24","17.65","0.6","12.94","176","0.64","","","","15","","","","","17.6","","","","","","","","","","","","0","","","","","","","","","","","","0","","","0","170","1 container","","","0"
"16255","SILK PEACH SOY YOGURT","76.41","94","2.35","1.18","1.24","18.82","0.6","14.71","176","0.64","","","","15","","","","","17.6","","","","","","","","","","","","0","","","","","","","","","","","","0","","","0","170","1 container","","","0"
"18005","BAGELS,CINNAMON-RAISIN","32","274","9.8","1.7","1.3","55.2","2.3","5.98","19","3.8","28","100","148","344","1.13","0.163","0.876","31","0.7","0.384","0.277","3.08","0.509","0.062","111","90","21","174","14.6","0","73","21","21","0","1","2","0","54","0.31","0","0","0.7","0.274","0.175","0.671","0","26","1 mini bagel,  (2-1/2"" dia)","69","1 small bagel,  (3"" dia)","0"
"18064","BREAD,WHEAT","35.25","274","10.67","4.53","2.01","47.54","4","5.73","125","3.6","41","129","141","473","1.04","0.148","1.026","28.8","0.2","0.411","0.252","5.59","0.82","0.111","85","20","65","99","18.7","0","2","0","0","0","1","0","0","44","0.19","0","0","4.9","0.697","0.612","1.615","0","29","1 slice","","","0"
"18097","CAKE,PUDDING-TYPE,CHOC,DRY MIX","3.9","391","4.6","8.14","3.2","80.16","2.3","39.53","133","2.92","41","286","337","767","0.78","0.272","0.213","3.3","0.1","0.21","0.17","2.417","0.211","0.031","54","44","10","85","3.3","0.5","2","1","1","0","0","0","0","4","0.65","0","0","2.2","2.022","2.803","2.269","0","28.35","1 oz","517","1 package,  (18.25 oz)","0"
"18110","CAKE,FRUITCAKE,COMMLY PREP","25.3","324","2.9","9.1","1","61.6","3.7","27.42","33","2.07","16","52","153","101","0.27","0.05","0.22","2","0.5","0.05","0.099","0.791","0.226","0.046","20","17","3","32","8.9","0.01","22","7","7","1","3","1","0","21","0.9","0","0","1.5","1.048","4.2","3.323","5","28.35","1 oz","43","1 piece","0"
"18170","COOKIES,FIG BARS","16.5","348","3.7","7.3","1.6","70.9","4.6","46.36","64","2.9","27","62","207","350","0.39","0.147","0.343","3.3","0.3","0.158","0.217","1.874","0.364","0.075","35","25","10","53","14.6","0.09","33","9","9","0","1","0","0","8","0.65","0","0","5.8","1.123","3.003","2.772","0","28.35","1 oz","43","1 Figaroo,  (2 square halves)","0"
"18178","COOKIES,OATMEAL,COMMLY PREP,REG","5.7","450","6.2","18.1","1.4","68.7","2.8","24.66","37","2.58","33","138","142","383","0.79","0.134","0.839","9.8","0.5","0.267","0.23","2.227","0.386","0.066","59","52","7","95","12","0","18","5","5","0","0","0","0","31","0.26","0","0","8","4.519","10.025","2.543","0","28.35","1 oz","25","1 cookie,  big (3-1/2"" - 4"" dia) (include Archway brand, Grandma brand)","0"
"18185","COOKIES,PNUT BUTTER,COMMLY PREP,REG","7.28","473","8.92","23.82","1.83","58.15","2.1","28.58","41","2.11","44","156","202","463","0.86","0.153","0.643","6.3","0","0.208","0.208","3.86","0.429","0.122","57","30","27","78","10","0.04","32","9","9","0","1","0","0","14","3.53","0","0","4.4","6.751","10.8","3.61","27","28.35","1 oz","31","1 cookie","0"
"18204","COOKIES,SUGAR,COMMLY PREP,REG (INCL VANILLA)","6.29","464","5.35","19.55","1.47","67.34","1.3","27.31","35","2.24","13","99","87","385","0.43","0.079","0.307","8.2","0.1","0.232","0.236","2.942","0.28","0.068","72","34","38","95","10.8","0.19","27","7","7","0","1","1","0","38","3.07","0","0","8.6","7.666","6.971","3.746","12","28.35","1 oz","17","1 cookie","0"
"18210","COOKIES,VANILLA SNDWCH W/CREME FILLING","2.2","483","4.5","20","1.2","72.1","1.5","39.3","27","2.21","14","75","91","349","0.4","0.114","0.292","3","0","0.261","0.243","2.69","0.394","0.018","50","46","4","82","4.1","0","0","0","0","0","0","0","0","1","1.6","0","0","5","2.979","8.437","7.551","0","28.35","1 oz","15","1 cookie, oval (3-1/8"" x 1-1/4"" x 3/8"")","0"
"18262","ENGLISH MUFFINS,RAISIN-CINNAMON (INCLUDES APPLE-CINNAMON)","40.6","240","7.91","1.8","1.58","48.1","2.6","14.76","114","4.5","23","91","173","299","0.97","0.16","0.575","21.6","1.3","0.412","0.215","3.67","0.209","0.066","74","54","20","112","16","0","0","0","0","0","0","0","0","25","0.31","0","0","2.5","0.54","0.846","0.339","0","28.35","1 oz","57","1 muffin","0"
"18275","MUFFINS,BLUEBERRY,DRY MIX","30.18","293","3.48","3.25","2.09","61","1.4","32.73","18","1.62","13","220","48","479","0.33","0.088","0.276","3.1","2.3","0.232","0.232","1.857","0.553","0.082","53","","","","","0","18","1","0","","","","","","","","","","1.161","0.696","1.307","0","43","1 serving","356","1 package,  mix + drained berries","0"
"18289","PANCAKES,PLN,DRY MIX,COMPLETE (INCL BTTRMLK)","9.05","368","9.77","3.1","4.44","73.65","2.9","16.03","344","3.6","28","600","191","1082","0.72","0.126","0.685","21.6","","0.45","0.267","4.368","0.63","0.171","","","","","18.2","0.32","","","","","","","","","","","","","0.822","1.271","0.928","2","52",".333 cup","28.35","1 oz","0"
"18303","PIE,BANANA CRM,PREP FROM MIX,NO-BAKE TYPE","50.9","251","3.4","12.9","1.1","31.6","0.6","","73","0.46","12","167","113","290","0.33","0.043","0.107","4.9","0.5","0.102","0.146","0.709","0.259","0.035","21","14","7","31","","0.21","408","95","90","","","","","","","","","","6.904","4.559","0.764","29","28.35","1 oz","92","1 piece,  (1/8 of 9"" dia)","0"
"18304","PIE,BANANA CRM,PREP FROM RECIPE","47.9","269","4.4","13.6","1.2","32.9","0.7","12.06","75","1.04","16","92","165","240","0.48","0.052","0.152","9.1","1.6","0.139","0.207","1.054","0.388","0.133","27","16","11","38","28.7","0.25","237","61","59","5","21","1","0","46","0.4","0.8","32","6.3","3.758","5.719","3.292","51","28.35","1 oz","1186","1 pie,  (9"" dia)","0"
"18305","PIE,BLUEBERRY,COMMLY PREP","52.5","232","1.8","10","0.8","34.9","1","9.89","8","0.3","5","23","50","287","0.16","0.046","0.176","1.4","2.7","0.01","0.03","0.3","0.136","0.037","27","23","4","43","7.2","0.01","140","44","41","0","39","0","0","15","1.04","0","0","10.5","1.679","4.244","3.524","0","28.35","1 oz","125","1 piece,  (1/8 of 9"" dia)","0"
"18323","PIE,PEACH","54.4","224","1.9","10","0.8","32.9","0.8","16.23","8","0.5","6","22","125","217","0.09","0.053","0.152","1.3","0.9","0.061","0.033","0.2","0.114","0.023","29","25","4","46","7.2","0","140","10","4","0","64","25","0","15","0.94","0","0","3.3","1.508","4.241","3.749","0","28.35","1 oz","117","1 piece,  (1/6 of 8"" pie)","0"
"19034","POPCORN,AIR-POPPED","3.32","387","12.94","4.54","1.42","77.78","14.5","0.87","7","3.19","144","358","329","8","3.08","0.262","1.113","0","0","0.104","0.083","2.308","0.51","0.157","31","0","31","31","21.2","0","196","10","0","58","89","0","0","1450","0.29","0","0","1.2","0.637","0.95","2.318","0","8","1 cup","28.35","1 oz","0"
"19038","POPCORN,CARAMEL-COATED,W/PNUTS","3.3","400","6.4","7.8","1.8","80.7","3.8","45.36","66","3.91","80","127","355","177","1.24","0.297","0.764","3.9","0","0.051","0.126","1.99","0.23","0.185","16","0","16","16","17.3","0","78","4","0","23","35","0","0","580","0.85","0","0","3.9","1.04","2.73","3.27","0","28.35","1 oz,  (approx 2/3 cup)","57","2 oz","0"
"19042","POTATO CHIPS,BARBECUE-FLAVOR","2.48","487","6.51","31.06","4.03","55.92","3.8","5.47","32","1.36","58","145","1186","545","0.98","0.247","0.385","0.4","62.4","0.221","0.119","4.957","0.85","0.375","64","0","64","64","11.5","0","393","20","0","5","203","60","130","151","4.42","0","0","16.1","4.002","13.221","12.207","0","28.35","1 oz","198","1 bag,  (7 oz)","0"
"19043","POTATO CHIPS,SOUR-CREAM-AND-ONION-FLAVOR","1.8","531","8.1","33.9","4.7","51.5","5.2","","72","1.6","74","176","1331","549","0.98","0.299","0.405","8.1","37.3","0.189","0.2","4.029","0.827","0.665","62","0","62","62","","1","170","14","6","","90","","","","","","","","8.89","6.12","17.42","7","28.35","1 oz","198","1 bag,  (7 oz)","0"
"19052","RICE CAKES,BROWN RICE,BUCKWHEAT","5.9","380","9","3.5","1.6","80.1","3.8","","11","1.14","151","380","299","116","2.5","0.38","6.18","16.4","0","0.056","0.103","8.096","1.16","0.13","21","0","21","21","","0","0","0","0","","","","","","","","","","0.64","1.11","1.11","0","9","1 cake","18","2 cakes","0"
"19056","TORTILLA CHIPS,PLAIN","2.64","472","7.1","20.68","1.79","67.78","5.4","0.78","106","1.52","84","225","182","328","1.38","0.097","0.388","4.4","0","0.14","0.07","0.838","0.297","0.179","12","0","12","12","19.4","0.36","4","0","0","0","2","2","0","5","3.53","0","0","20.9","2.811","5.664","10.769","0","28.35","1 oz","213","1 bag","0"
"19135","CANDIES,MARS SNACKFOOD US,MILKY WAY BAR","6.3","456","4.01","17.23","1.3","71.17","1","59.69","115","0.49","20","67","124","167","0.69","0.147","0.147","2","0.7","0.046","0.103","0.154","0.155","0.014","4","0","4","4","16.5","0.18","110","31","31","0","4","0","0","1","0.89","0.4","16","3.6","12.016","2.23","0.26","9","58","1 serving, 2.05 oz bar","17","1 bar, fun size","0"
"19193","Puddings, rice, ready-to-eat","75.15","108","3.23","2.15","0.78","18.39","0.3","11.59","95","0.11","8","82","125","97","0.43","0.023","0.077","3.2","1.3","0.027","0.183","0.217","0.54","0.052","4","0","4","4","7.8","0.15","69","19","19","0","4","0","0","9","0.07","0","0","0.2","1.208","0.556","0.129","12","113","1 serving, 4 oz pudding cup","28.35","1 oz","0"
"19271","ICE CREAMS,STRAWBERRY","60","192","3.2","8.4","0.7","27.6","0.9","","120","0.21","14","100","188","60","0.34","0.037","0.078","1.9","7.7","0.045","0.255","0.17","0.72","0.05","12","0","12","12","","0.3","320","96","96","","","","","","","","","","5.19","","","29","58","1 individual,  (3.5 fl oz)","66",".5 cup,  (4 fl oz)","0"
"19296","HONEY","17.1","304","0.3","0","0.2","82.4","0.2","82.12","6","0.42","2","4","52","4","0.22","0.036","0.08","0.8","0.5","0","0.038","0.121","0.068","0.024","2","0","2","2","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","339","1 cup","21","1 tbsp","0"
"19303","MARMALADE,ORANGE","33.2","246","0.3","0","0.2","66.3","0.7","60","38","0.15","2","4","37","56","0.04","0.09","0.02","0.6","4.8","0.005","0.025","0.052","0.015","0.019","9","0","9","9","3","0","62","3","0","5","15","38","0","58","0.06","0","0","0","0","0","0","0","20","1 tbsp","14","1 package,  (0.5 oz)","0"
"19334","SUGARS,BROWN","1.34","380","0.12","0","0.45","98.09","0","97.02","83","0.71","9","4","133","28","0.03","0.047","0.064","1.2","0","0","0","0.11","0.132","0.041","1","0","1","1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1 tsp,  unpacked","220","1 cup,  packed","0"
"19336","SUGARS,POWDERED","0.23","389","0","0","0.01","99.77","0","97.81","1","0.06","0","0","2","2","0.01","0.007","0.004","0.6","0","0","0.019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","1 cup, unsifted","100","1 cup, sifted","0"
"19365","TOPPINGS,MARSHMLLW CRM","19.8","322","0.8","0.3","0.1","79","0.1","46.8","3","0.22","2","8","5","80","0.04","0.095","0.008","1.9","0","0.001","0.001","0.076","0.005","0.002","1","0","1","1","0.1","0","1","0","0","0","0","0","0","0","0","0","0","0","0.056","0.08","0.047","0","28.35","1 oz","198","1 jar","0"
"19366","TOPPINGS,PINEAPPLE","33","253","0.1","0.1","0.4","66.4","0.4","21.01","6","0.12","6","3","43","42","0.05","0.052","0.07","0.7","3.1","0.038","0.018","0.101","0.012","0.028","2","0","2","2","1.6","0","17","1","0","0","10","0","0","0","0.01","0","0","0.2","0.018","0.032","0.05","0","340","1 cup","42","2 tbsp","0"
"19411","POTATO CHIPS,PLAIN,SALTED","1.86","532","6.39","33.98","3.94","53.83","3.1","0.33","21","1.28","63","153","1196","527","1.09","0.234","0.43","2.5","21.6","0.213","0.088","4.762","0.956","0.531","29","0","29","29","12.1","0","0","0","0","0","0","0","0","0","10.45","0","0","22.1","3.4","18.963","8.282","0","28","1 oz","28","22 chips","0"
"20110","NOODLES,EGG,ENR,CKD","67.73","138","4.54","2.07","0.5","25.16","1.2","0.4","12","1.47","21","76","38","5","0.65","0.098","0.315","23.9","0","0.289","0.136","2.077","0.263","0.046","84","77","7","138","25.7","0.09","21","6","6","0","1","0","0","38","0.17","0.1","4","0","0.419","0.581","0.552","29","160","1 cup","","","0"
"20121","PASTA,CKD,ENR,WO/ ADDED SALT","62.13","158","5.8","0.93","0.27","30.86","1.8","0.56","7","1.28","18","58","44","1","0.51","0.1","0.322","26.4","0","0.274","0.136","1.689","0.112","0.049","73","66","7","119","6.4","0","0","0","0","0","0","0","0","7","0.06","0","0","0","0.176","0.131","0.326","0","124","1 cup, spaghetti not packed","151","1 cup, spaghetti packed","0"
"20127","SPAGHETTI,SPINACH,COOKED","68.14","130","4.58","0.63","0.5","26.15","","","30","1.04","62","108","58","14","1.08","0.205","1.504","22.1","0","0.097","0.103","1.53","0.183","0.096","12","0","12","12","","0","152","8","0","","","","","","","0","0","","0.091","0.072","0.257","0","140","1 cup","","","0"
"20447","RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD","70.36","123","2.91","0.37","0.3","26.05","0.9","0.11","19","0.24","9","55","56","2","0.37","0.07","0.354","9.3","0","0.074","0.019","2.309","0.323","0.156","3","0","3","3","","0","","","","","","","","","0.01","0","0","0","0.074","0.074","0.091","0","158","1 cup","","","0"
"21011","FAST FOODS,CROISSANT,W/EGG&CHS","45.47","304","10.07","19.45","2.56","22.45","","","192","1.73","17","274","137","434","1.38","0.072","0.178","19.3","0.1","0.15","0.3","1.19","0.83","0.08","37","8","29","43","92.2","0.61","788","","","","","","","","","","","","11.075","5.938","1.076","170","127","1 croissant","","","0"
"21060","FAST FOODS,BURRITO,W/BNS","52.53","206","6.48","6.22","1.85","32.92","","","52","2.08","40","45","301","454","0.7","0.174","0.4","10.1","0.9","0.29","0.28","1.87","0.92","0.14","40","","","","26.8","0.5","153","","","","","","","","","","","","3.174","2.184","0.551","2","217","2 pieces","","","0"
"21275","PIZZA HUT 12"" PEPPERONI PIZZA,PAN CRUST","40.8","298","11.97","14.21","2.53","30.49","1.8","3.2","146","2.14","22","205","199","692","1.54","0.105","0.361","20.6","0","0.287","0.254","3.84","0.378","0.14","","","","","","0.64","171","47","46","","","","","","0.78","","","19.3","5.271","4.415","3.465","25","96","1 slice","778","1 pizza","0"
"21277","DOMINO'S 14"" CHS PIZZA,CLASSIC HAND-TOSSED CRUST","44.87","257","10.8","8.97","2.13","33.24","2.2","4.02","167","2.34","24","204","161","523","1.24","0.107","0.324","23","0.9","0.32","0.17","3.35","0.45","0.08","","","","","","0.46","301","61","55","","","","","","0.99","0","0","5.4","4.11","2.165","1.833","17","108","1 slice","865","1 pizza","0"
"21283","PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST","44.16","260","11.53","9.25","2.32","32.74","1.9","5.32","166","1.97","24","203","138","578","1.24","0.125","0.338","27.6","0","0.453","1.225","3.064","0.18","0.122","77","45","33","109","","0.68","295","60","54","0","69","0","1520","47","1.14","0","0","7.5","3.871","2.476","1.97","19","117","1 slice","938","1 pie","0"
"21284","PAPA JOHN'S 14"" PEPPERONI PIZZA,ORIGINAL CRUST","43.6","275","11.97","11.86","2.53","30.04","1.2","4.84","152","1.98","23","196","150","671","1.34","0.128","0.348","29.3","0","0.431","0.486","3.225","0.266","0.162","72","43","29","102","","0.79","294","58","52","","","","","","1.1","0","0","6.1","4.908","3.912","2.206","26","123","1 slice","1021","1 pie","0"
"43146","EGGPLANT,PICKLED","86.9","49","0.9","0.7","1.73","9.77","2.5","4.8","25","0.77","6","9","12","1674","0.23","0.173","","0.6","0","0.05","0.07","0.66","","0.14","20","0","20","20","11.9","0","50","3","0","0","30","0","0","0","0.03","0","0","3.7","0.14","0.063","0.294","0","136","1 cup","","","0"
"43379","CHEESE,PAST PROCESS,SWISS,LOFAT","59.1","165","25.5","5.1","6","4.3","0","1.35","684","0.43","24","827","180","1430","3.32","0.033","","17.4","0","0.03","0.39","0.08","","0.08","9","0","9","9","36.2","0.77","152","40","39","0","13","0","0","0","0.07","0.1","4","0.5","3.303","1.351","0.18","35","140","1 cup, diced","113","1 cup, shredded","0"
"43344","JAMS,PRESERVES,MARMALADE,RED SUGAR","62","151","0","0.1","0.3","37.6","1.5","29.41","0","0","4","7","59","0","0.05","0.038","0.288","0.4","15","0.01","0.02","0.08","0.092","0.02","18","0","18","18","4.2","0","9","0","0","0","5","0","0","20","0.21","0","0","1.6","0.005","0.014","0.05","0","","","","","0"
"43276","CHEESE SPRD,CRM CHS BASE","58.5","295","7.1","28.6","2.3","3.5","0","3.5","71","1.13","6","91","112","436","0.51","0.015","","2.7","0","0.02","0.19","0.95","","0.04","12","0","12","12","27.2","0.4","1031","302","300","0","19","0","0","0","0.77","0.5","21","2.4","18.02","8.071","1.033","90","28.35","1 oz","240","1 cup","0"
